etc	abandon
intentionally	abandoned
chemically	acid
sloping	angle
negatives	any
curved	arch
sexually	attract
theatrical	ballet
participle	be
pod	bean
sting	bee
two-wheeled	bicycle
motorcycle	bike
unpleasantly	bitter
Africa	black
chalk	blackboard
currents	blow
yeast	bread
rounded	breast
English	broken
Spanish	broken
Australia	bush
patterned	butterfly
uncontrolled	cancer
wax	candle
A&E	casualty
compact	CD
French	champagne
British	chancellor
axe	chop
Christian	church
European	classical
Mozart	classical
Stravinsky	classical
hairy	coconut
cement	concrete
Asia	continent
Europe	continent
America	continent
reddish-brown	copper
reddish	copper
yellowish-white	cream
curl	curly
curls	curly
datum	data
caffeine	decaffeinated
twelfth	December
ft	deep
antlers	deer
cartilage	disc
deoxyribonucleic	DNA
Canada	dollar
Zealand	dollar
webbed	duck
hydrogen	element
fins	fish
curled	fist
loosely	floppy
homosexual	gay
neuter	gender
John	gerund
African	giraffe
urine	go
Jewish	god
Muslim	god
reflexive	herself
Americans	hip-hop
acitivity	input
socially	invite
Australian	kangaroo
forcefully	knock
fashioned	lady
spacecraft	launch
bounds	leap
brightness	light
linguistics	linguistic
magnet	magnetic
Japanese	martial art
Chinese	martial art
karate	martial art
kung	martial art
fu	martial art
Christ	millennium
minerals	mine
Britain	minister
metallic	mirror
banknotes	money
Islamic	mosque
malaria	mosquito
fungus	mushroom
American	nationality
Swiss	nationality
eleventh	November
nucleus	nuclear
tenth	October
abused	open
Judaism	orthodox
Christianity	orthodox
claws	paw
furry	peach
hundredth	pence
peppercorns	pepper
positioned	pile
decimal	point
compass	point
France	post
London	post
Singapore	post
clay	pottery
UK	pound
uterus	pregnant
projected	projection
psychiatry	psychiatrist
shove	push
triangular	pyramid
tape	recording
thorns	rose
oars	row
rust	rusty
sarcasm	sarcastic
cheaply	second
correspondence	secretary
stupidly	see
noisily	sigh
equator	south
vodka	spirit
postage	stamp
consciously	subconsciously
colourless	sweat
grammatically	take
multiplied	times
silvery-coloured	tin
sporting	train
organism	virus
paves	way
heaviness	weigh
yellowish	wheat
Scotland	whisky
barley	whisky
conditional	will
Hindu	yoga
sweetened	yogurt
