accommodation 	accommodations 	NOUN 	a place where you live or stay
aeroplane 	airplane 	NOUN 	a vehicle that flies and has at least one engine and wings
aluminium 	aluminum 	NOUN 	a light, silver-coloured metal used for making containers, cooking equipment and aircraft parts
analyse 	analyze 	VERB 	to examine the details of something carefully, in order to understand or explain it
apologise 	apologize 	VERB 	to tell someone that you are sorry about something you have done
aubergine 	eggplant 	NOUN 	an oval, purple vegetable that is white inside
behaviour 	behavior 	NOUN 	the way that you behave
biscuit 	cookie 	NOUN 	a small, flat cake that is dry and usually sweet
boot 	trunk 	NOUN 	a closed space at the back of a car for putting things in
car park 	parking lot 	NOUN 	an area of ground for parking cars
casualty 	emergency room 	NOUN 	the part of a hospital where people go when they have been injured or have urgent illnesses so that they can be treated immediately - the official name for this is Accident and Emergency (A&E)
catalogue 	catalog 	NOUN 	a book with a list of items, such as pictures on display or goods that you can buy from a business
centimetre 	centimeter 	NOUN 	a unit of length equal to 0.01 of a metre
centre 	center 	NOUN 	the middle point or part of something
centre 	center 	NOUN 	a place or a building used for a particular activity
centre 	center 	NOUN 	to receive more attention than anyone or anything else
centre 	center 	NOUN 	a political position with opinions that are not extreme
chemist 	drugstore 	NOUN 	a shop where you can buy medicines, make- up and products used for washing yourself
cheque 	check 	NOUN 	a piece of paper printed by a bank that you use instead of money to pay for things
cinema 	movie theater 	NOUN 	a building where you go to watch films
cinema 	movie theater 	NOUN 	the art or business of making films
colour 	color 	NOUN 	red, blue, green, yellow, etc.
colour 	color 	NOUN 	with a very high score or with great success
colour 	color 	NOUN 	interesting or exciting qualities or parts
colour 	color 	NOUN 	the colour of a person's skin, which shows their race
colour 	color 	VERB 	to make something a particular colour
colour 	color 	VERB 	to affect what someone does, says, or feels
cosy 	cozy 	ADJECTIVE 	comfortable and warm
counsellor 	counselor 	NOUN 	someone whose job is to listen to people and give them advice about their problems
courgette 	zucchini 	NOUN 	a long green vegetable that is white inside
defence 	defense 	NOUN 	the part of a sports team which tries to prevent the other team from scoring points
defence 	defense 	NOUN 	protection or support against attack, criticism or infection
defence 	defense 	NOUN 	the weapons and military forces that a country uses to protect itself against attack
defence 	defense 	NOUN 	the lawyers in a court who work in support of the person who is accused of a crime
dialogue 	dialog 	NOUN 	(a) conversation which is written for a book, play or film
dialogue 	dialog 	NOUN 	a formal discussion between countries or groups of people
diarrhoea 	diarrhea 	NOUN 	an illness in which your solid waste is more liquid than usual, and comes out of your body more often
draught 	draft 	NOUN 	a current of cold air in a room
driving licence 	driver’s license 	NOUN 	official permission for someone to drive a car, received after passing a driving test, or a document showing this
dustbin 	garbage can 	NOUN 	a large container for rubbish from a house or other building, usually made of strong plastic or metal and kept outside
endeavour 	endeavor 	VERB 	to try very hard to do something
endeavour 	endeavor 	NOUN 	an attempt to do something
engaged 	busy 	ADJECTIVE 	If a telephone or public toilet is engaged, someone is already using it.
