accord	of your own accord	NOUN; PHRASE	If you do something of your own accord, you choose to do it and no one else forces you.
accustomed	accustomed to sth/doing sth	ADJECTIVE; PHRASE	If you are accustomed to something, you have experienced it often enough for it to seem normal to you.
active		ADJECTIVE	An active verb or sentence is one in which the subject is the person or thing doing the action.
active		ADJECTIVE	An active volcano could throw out rocks, fire, etc. at any time.
addictive		ADJECTIVE	If something is addictive, it makes you want more of it so that you become addicted.
address		VERB	to write a name and address on an envelope or parcel
adjacent		ADJECTIVE	If two things are adjacent, they are next to each other.
adverb		NOUN	a word which describes or gives more information about a verb, adjective, another adverb or a phrase
afford	cannot afford	VERB; PHRASE	If you cannot afford to do something, it is impossible for you to do it without causing problems.
again	once again	ADVERB; PHRASE	again
again	yet again	ADVERB; PHRASE	again after something has happened or been done many times before
against	against sb's advice/wishes, etc.	PREPOSITION; PHRASE	If you do something against someone's advice, wishes, etc., you do it although they have said you should not or must not.
against	against all (the) odds	PREPOSITION; PHRASE	If you do or achieve something against all the odds, you succeed although you were not likely to.
age	at the tender age of 8/17/25, etc.	NOUN; PHRASE	at the young age of 8/17/25, etc
ago	long ago	ADVERB; PHRASE	If something happened long ago, it happened a great amount of time ago.
agree		VERB	If two descriptions, statements, etc. agree, they are the same.
air	clear the air	NOUN; PHRASE	If an argument or discussion clears the air, people feel less angry or upset after it.
all	all things considered	DETERMINER; PRONOUN; PHRASE	used for saying that something is true in general if you think about all its aspects
all	all hours	DETERMINER; PRONOUN; PHRASE	very late at night, until early morning, or almost all the time
almost		ADVERB	If something almost happens, it does not happen but it is very close to happening.
alternate		VERB	If two things alternate, one thing happens, then the other thing happens, then the first thing happens again, etc.
alternative		ADJECTIVE	An alternative plan, method, etc. is one that you can use if you do not want to use another one.
ambitious		ADJECTIVE	If a plan or idea is ambitious, it will need a lot of work and will be difficult to achieve.
and		CONJUNCTION	used instead of 'to' after some verbs, such as 'try' and 'go'
animated		ADJECTIVE	An animated film is one in which drawings and models seem to move.
anti-social		ADJECTIVE	An anti-social person does not like being with other people.
any	any more	DETERMINER; PRONOUN; PHRASE	If you do not do something or something does not happen any more, you have stopped doing it or it does not now happen.
anymore		ADVERB	If you do not do something or something does not happen anymore, you have stopped doing it or it does not now happen.
apart		ADVERB	If two people are apart, they are not in the same place together.
arm		NOUN	the part of a chair where your arm rests
arm	arm in arm	NOUN; PHRASE	with your arm gently supporting or being supported by someone else's arm
around	be around	ADVERB; PHRASE	If someone is around, they are present in a place.
arrest		VERB	If the police arrest someone, they take them away to ask them about a crime which they might have committed.
as	as much/quickly/soon, etc. as possible	ADVERB; PREPOSITION; PHRASE	as much/quickly/soon, etc. as something can happen or be done
as	as a whole	ADVERB; PREPOSITION; PHRASE	when considered as a group and not in parts
as	as it stands	ADVERB; PREPOSITION; PHRASE	as something is now, without changes in it
aside		ADVERB	If you put or set something aside, you do not use it now, but keep it to use later.
asleep	fast asleep	ADJECTIVE; PHRASE	completely asleep
at	at his/its, etc. best	PREPOSITION; PHRASE	at the highest level of achievement or quality
at	at first	PREPOSITION; PHRASE	at the beginning of a situation or period of time
at	at the same time	PREPOSITION; PHRASE	If two things happen at the same time, they happen together.
at	at all costs	PREPOSITION; PHRASE	If something must be done at all costs, it is very important that it is done.
at	at sb's disposal	PREPOSITION; PHRASE	available for you to use at any time
at	at the expense of sth	PREPOSITION; PHRASE	If you do one thing at the expense of another, doing the first thing harms the second thing.
at	at face value	PREPOSITION; PHRASE	If you accept something at face value because of the way it first looks or seems, you do so without thinking carefully about it.
at	at a glance	PREPOSITION; PHRASE	If you see something at a glance, you see it very quickly or immediately.
at	at once	PREPOSITION; PHRASE	at the same time
at	at the latest	PREPOSITION; PHRASE	If you tell someone to do something by a particular time at the latest, you mean they must do it before that time.
at	at length	PREPOSITION; PHRASE	If you talk about something at length, you talk for a long time.
at	at your fingertips	PREPOSITION; PHRASE	If you have something at your fingertips, you can get it and use it very easily.
at	at the hands of sb	PREPOSITION; PHRASE	If you suffer at the hands of someone, they hurt you or treat you badly.
at	be at a premium	PREPOSITION; PHRASE	If something useful is at a premium, there is not enough of it.
at	at any price	PREPOSITION; PHRASE	If you want something at any price, you will do anything to get it.
at	at your own risk	PREPOSITION; PHRASE	If you do something at your own risk, you are completely responsible for anything bad that might happen because of it.
at	be at stake	PREPOSITION; PHRASE	If something is at stake, it is in a situation where it might be lost or damaged.
at	at the tender age of 8/17/25, etc.	PREPOSITION; PHRASE	at the young age of 8/17/25, etc
attention	be the centre of attention	NOUN; PHRASE	to receive more attention than anyone or anything else
authentic		ADJECTIVE	If something is authentic, it is real, true, or what people say it is.
automatic		ADJECTIVE	An automatic machine works by itself or with little human control.
automatically		ADVERB	If a machine does something automatically, it does it independently, without human control.
automatically		ADVERB	If you do something automatically, you do it without thinking about it.
available		ADJECTIVE	If something is available, you can use it or get it.
available		ADJECTIVE	If someone is available, they are not busy and so are able to do something.
average		ADJECTIVE	An average number is the number you get by adding two or more amounts together and dividing the total by the number of amounts.
average	on average	NOUN; PHRASE	usually, or based on an average
awake	be wide awake	ADJECTIVE; PHRASE	to be completely awake
away		ADVERB	If a sports team is playing away, the game is at the place where the other team usually plays.
back	back to front	NOUN; PHRASE	with the back part of something where the front should be
back	behind sb's back	NOUN; PHRASE	If you do something behind someone's back, you do it without them knowing, often in an unfair way.
back	be (like) water off a duck's back	NOUN; PHRASE	If criticisms, insults, etc. are like water off a duck's back to you, they do not affect you at all.
back		ADJECTIVE	at or near the back of something
background	in the background	NOUN; PHRASE	If a person stays in the background, they try not to be noticed.
bad		ADJECTIVE	If you have a bad arm, leg, heart, etc., there is something wrong with it and it is painful.
balance	be/hang in the balance	NOUN; PHRASE	If something is or hangs in the balance, nobody knows if it will continue to exist in the future or what will happen to it.
barbecue		VERB	to cook food on a barbecue
barber		NOUN	someone whose job is to cut men's hair. The place where a barber works is usually called the barber's.
bath		NOUN	when you wash your body in a bath, or the water in the bath
before	long before	ADVERB; PHRASE	a long period of time before something
behalf	on behalf of sb or on sb's behalf	NOUN; PHRASE	If you do something on behalf of someone, you do it for them or instead of them.
behind		PREPOSITION	If a bad experience or your own bad behaviour is behind you, it does not exist or affect your life now.
behind	behind sb's back	PREPOSITION; PHRASE	If you do something behind someone's back, you do it without them knowing, often in an unfair way.
behind	behind the scenes	PREPOSITION; PHRASE	If something happens behind the scenes, it happens secretly.
bell	ring a bell	NOUN; PHRASE	If a word, especially a name, rings a bell, you think you have heard it before.
beneath		PREPOSITION	If someone or something is beneath you, you think you are too important or from too high a social class to spend time on them.
beneath	beneath your dignity	PREPOSITION; PHRASE	If it is beneath your dignity to do something, you think you are too important or from too high a class to do it.
best		ADJECTIVE	the thing that is best, if you cannot have or do the thing you really want
best	your best bet	ADJECTIVE; PHRASE	Someone’s best bet is the action most likely to be successful.
best	for the best	NOUN; PHRASE	If something is for the best, it seems unpleasant now, but will improve a situation in the future.
best	bring out the best in sb	NOUN; PHRASE	to cause someone's best qualities to show
best	at the best of times	NOUN; PHRASE	used to show that something is not good when it is the best it can be
beyond		PREPOSITION	If something is beyond you, you cannot understand it.
birth	give birth	NOUN; PHRASE	When a woman or an animal gives birth, she produces a baby from her body.
bite		NOUN	a piece taken from food when you bite it
bitter		ADJECTIVE	If you do something to/till/until the bitter end, you continue it until it is finished, although it is difficult and takes a long time.
black		ADJECTIVE	Someone who is black has the dark skin typical of people from Africa.
blackmail		VERB	to force someone to do something by using blackmail
bland		ADJECTIVE	If food is bland, it does not have much taste.
blank	go blank	ADJECTIVE; PHRASE	If your mind goes blank, you suddenly cannot remember or think of something.
bleak		ADJECTIVE	If a situation is bleak, there is little or no hope for the future.
bleak		ADJECTIVE	If a place is bleak, it is cold, empty and not attractive.
blind	the blind	NOUN; PHRASE	people who are blind
blog		VERB	to write or add material to a blog
blood	make your blood run cold	NOUN; PHRASE	If something makes your blood run cold, it frightens you very much.
blow	blow it/your chance(s)	VERB; PHRASE	If you blow it or blow your chance, you lose an opportunity to do something by doing or saying the wrong thing.
blue		NOUN	a blue colour
blue	out of the blue	NOUN; PHRASE	If something happens out of the blue, it is completely unexpected.
body		NOUN	the main part of a person's or animal's body, without the head, arms and legs
boil		VERB	If a liquid boils, or if you boil it, it reaches the temperature where bubbles rise up in it and it produces steam.
boil		VERB	If a container of liquid boils, or if you boil it, it reaches the temperature where bubbles rise up in it and it produces steam.
born	be born	VERB; PHRASE	When a person or animal is born, they come out of their mother's body and start to exist.
born	be born	VERB; PHRASE	If an idea is born, it starts to exist.
bothered		ADJECTIVE	If you are bothered about something, it is important to you and you are worried about it.
brass		NOUN	the group of musical instruments made from brass
break		VERB	If you break a machine, object, etc., or if it breaks, it stops working because it is damaged.
breath	take your breath away	NOUN; PHRASE	If something takes your breath away, you feel surprise and admiration because it is so beautiful or exciting.
breath	under your breath	NOUN; PHRASE	If you say something under your breath, you say it very quietly so that other people cannot hear it.
bronze		NOUN	a bronze medal
bronze		ADJECTIVE	made of bronze
bronze		ADJECTIVE	being the colour of bronze
brown		NOUN	a brown colour
brush		NOUN	the action of using a brush
brush		VERB	to use a brush to clean or tidy something
brush	brush sth away/off, etc.	VERB; PHRASE	to move something somewhere using a brush or your hand
burn		VERB	If you burn something that you are cooking, you cook it too much and if something you are cooking burns, it cooks too much.
business	be none of sb's business	NOUN; PHRASE	If something is none of someone's business, they do not need to know about it, although they want to, because it does not affect them.
busy		ADJECTIVE	If you are busy, you are working hard, or giving your attention to a particular thing
busy		ADJECTIVE	A busy place is full of activity or people.
busy		ADJECTIVE	In a busy period, you have a lot of things to do.
by	by hand	PREPOSITION; PHRASE	done or made by a person instead of a machine
by	by far	PREPOSITION; PHRASE	by a great amount
by	by all accounts	PREPOSITION; PHRASE	as said by a lot of people
by	by law	PREPOSITION; PHRASE	If you have to do something by law, it is illegal not to do it.
catch		VERB	If the police catch a criminal, they find them and take them away.
century	the turn of the century	NOUN; PHRASE	the start of a new century
chance	stand a chance	NOUN; PHRASE	to have a chance of success or of achieving something
chance	blow it/your chance(s)	NOUN; PHRASE	If you blow it or blow your chance, you lose an opportunity to do something by doing or saying the wrong thing.
change	change your mind	VERB; PHRASE	to change a decision or opinion
change	a change of heart	NOUN; PHRASE	If you have a change of heart, you change your opinion or feelings about something.
charge		VERB	If the police charge someone, they accuse them officially of a crime.
charm		VERB	to attract someone or persuade someone to do something because of your charm
chatty		ADJECTIVE	A piece of writing that is chatty has a friendly and informal style.
chicken		NOUN	the meat of a chicken
chip		VERB	If several people chip in, they each give money to pay for something together.
chocolate	hot chocolate	NOUN; PHRASE	a sweet drink made with chocolate and hot milk
chronic		ADJECTIVE	A chronic illness or problem continues for a long time.
circle		VERB	to draw a circle around something
circle		VERB	to move in a circle, often around something
clash		VERB	If colours or styles clash, they do not look good together.
